STOCK 1,STOCK 2
-1.439271921,-2.214445174
0.649163708,1.753031035
-0.758239189,1.289920026
0.844345099,0.131918818
0.938964951,-0.53735183
1.083524099,-0.733624007
0.453163948,-1.157837945
-1.610022577,-0.548900291
0.249342223,-0.160262369
1.415483704,-0.731395324
0.415549886,0.420298841
0.077493349,-1.280668017
0.92226997,-3.175432391
1.428601702,0.628546604
-1.246145216,-0.774372956
1.661581262,0.499532138
-2.046064086,1.151340131
1.322613911,-0.512164121
-1.574497601,0.712021554
0.174350852,0.059978578
-0.550493832,0.117506352
0.091784893,-0.81636847
0.007505429,1.856296265
-1.551602551,1.91625563
1.634867218,-0.106900035
0.380256357,0.353683498
-0.363011866,1.799505485
0.256986915,0.799864007
-1.046958516,-2.182595129
-0.742258795,1.290448599
0.343671015,0.57186299
1.142652665,-1.886725339
-1.771037323,0.243502473
-0.50687837,-0.801346509
0.605151107,1.217972903
-1.49276947,0.207242967
-0.827118062,0.429336317
-0.105800991,0.935107242
-0.079718009,-0.278515231
0.088287949,-1.427992614
2.093755153,-0.391492683
-1.214606795,-0.205404203
-1.575893582,-0.707573304
2.366132628,1.484361164
0.30455198,0.687182546
0.12229268,-0.442476509
0.63799323,-1.264699377
0.462987605,0.597821603
-0.230493682,-0.238802157
-0.270882728,-0.134988034
-2.487292537,1.405801618
0.489436713,2.052482963
0.724553691,-0.00335808
0.896748992,-0.19984892
-0.768999102,0.642868817
-0.113385525,0.889712584
0.806650173,0.606287326
-0.46144361,-0.903573603
-0.277228656,2.297625761
0.324775082,0.243301627
-1.464098153,0.959831924
0.723444486,0.908976177
-0.55661521,-0.474671493
-1.649234063,0.396157941
1.21907744,0.023686577
-1.297238879,-0.070116498
1.701726589,-0.387054876
-0.504747075,0.723855172
0.530638916,0.151997239
-0.020048267,-0.403842353
0.352888143,0.639273165
1.730190426,-0.363705143
0.240671305,0.243139529
0.307250873,0.388990123
-0.133617804,-0.562731754
-0.098528431,1.438997975
0.543751439,-1.752942914
0.002647477,0.599329334
0.912121048,-0.071148508
-0.110396605,0.111942026
0.378131179,-0.599920429
0.531118741,-0.007314556
-0.444720904,1.085828342
-1.715326674,0.3672812
-1.016075075,-0.241743291
-0.068427182,-0.039243274
0.307090378,0.256386675
1.825020035,0.473830055
1.480784422,-0.83794834
-1.709082584,-0.453783028
-0.759762378,-0.205073174
0.034611421,-1.073470222
-0.079224244,1.955897566
-2.047755025,0.734445391
0.068372244,-1.515027892
0.983296919,0.250038009
0.311893939,-1.698616947
-0.827439118,-1.561638451
-1.161917822,-0.297104193
0.311685726,-0.566778799
1.128519142,-0.447426608
0.717505831,0.209873649
-0.3822804,0.187155503
-0.475973926,0.068877812
0.141532923,0.714821871
-1.329460529,1.209515602
1.319680722,-0.330113614
-0.006834934,-0.850125075
0.91733383,-0.466979437
-0.357248407,0.286591311
0.937034598,-0.997739684
0.89144148,1.366496763
-0.446685315,0.0813121
0.757143059,-0.901765719
-0.088432718,0.200788666
-1.11370113,0.181357285
-2.284265826,-0.563612812
0.47455462,0.047627016
0.574979529,0.078004563
-1.147089136,0.351588677
-0.605375704,-1.550766555
0.576603122,0.609159926
0.955467405,-0.28081195
0.168392127,0.566269563
-0.086855076,-0.31691725
-0.131909074,-0.591644594
0.363638962,-0.104862021
1.916442098,-1.113582501
-0.795699973,-0.580318996
2.010798681,-1.180985412
-0.217489525,0.159826221
-0.545686933,1.337706293
-0.733680916,-0.616503659
0.956961443,-0.858791551
-2.205117326,0.898368038
1.171173219,-1.70605348
0.436990227,0.553978291
-0.697545915,0.493349275
-0.254026839,1.411692116
-1.070090599,-1.238759057
-1.468940037,-0.873222492
0.903722041,-0.38149232
0.740208905,-1.456972799
-0.391299698,0.859275582
-0.81246915,1.078390716
-0.423791736,0.972709604
-1.25252034,-0.000609895
-0.872217246,1.297622766
-0.495122777,-0.052788212
-1.101711765,0.449119108
0.783047138,-0.161016545
0.075788706,-0.013247512
0.888508133,0.51835118
-1.69403959,0.709528921
-0.474184016,-0.648842585
-0.437178636,0.708086149
0.623800105,0.509552099
-0.491317711,-1.014109591
0.947229338,-0.068784612
0.786958725,-0.60277123
1.637163302,-0.62262813
0.337008994,-2.086582087
2.028141115,-0.834236761
1.168342223,0.037143658
0.373233732,-0.354316054
-0.371265184,-0.796716119
0.441482844,1.380418287
1.912740895,0.04909304
-0.696158742,-1.204242734
0.434101096,0.501118798
-0.46962038,-0.94575256
0.402688481,-0.906049165
1.174932997,-0.104626475
-0.750291715,0.864771006
1.407292716,1.264883805
0.647636157,-0.04089541
-2.074668116,-1.77545581
0.742262814,1.09697623
0.592458047,-1.792267349
-0.731305405,0.930645856
-1.452092885,0.415060395
-1.549803839,0.458299721
0.926650096,0.813471998
1.903271463,-0.195661743
0.14034149,-1.154776607
-0.504730874,-0.904037765
0.242317991,0.524432612
1.133589589,-0.53400123
0.875269391,-0.209155549
-1.388593287,0.923283734
0.698344212,-0.492539394
-1.010746061,-1.16379584
2.467681986,-0.108534618
-0.807930036,-0.190084709
-1.158263219,0.049953364
-0.382714419,1.602954459
-0.061781518,0.198495244
-0.406998646,0.62105637
-1.178023379,-0.571018258
1.676329614,0.616475779
0.659624166,3.041538723
0.992408312,0.971875608
-1.605549257,-0.213973678
-0.961041766,1.170729617
-0.87336454,-1.488235523
0.980515111,-0.61121192
0.126629366,-0.529356165
-2.619625918,0.821146728
1.300981413,-1.217181285
0.806552723,-1.033824688
0.273543577,0.353099496
-0.66667671,0.894290256
-0.403051432,-1.565265916
-0.637196995,0.624574034
-0.551657127,0.515370218
0.826247838,0.872842842
1.523877577,0.225420018
1.262302163,-0.080300804
-0.948145032,0.091092009
-0.362947993,-0.558840851
0.347142858,0.126828895
0.842477246,0.676842448
0.377102458,-1.406473782
0.872098363,1.519055782
-1.417050746,-0.110765105
-0.80199228,-0.9832605
-0.357874626,-0.176899897
-2.359680004,-0.369335088
0.211318834,0.428368011
0.629638214,0.75333227
-1.632458023,-0.682134499
0.603757298,0.129748781
-1.071609743,0.901766185
-0.359812362,1.053706982
-0.190173953,-0.821637677
-1.596630885,-0.606596893
0.163234731,0.510696147
1.167048129,0.817291292
0.010896159,0.208311756
1.571125488,0.005902708
2.129678069,-1.231799922
0.202267686,0.99955962
0.412476732,0.28006863
0.083255302,-1.194210669
-1.286310764,0.6483397
2.426461989,1.095587556
0.215853686,0.188258309
-0.097010602,0.368792877
1.232307235,1.011769647
-0.701361196,0.307159856
-0.867009091,0.189721125
-0.900693002,0.594620499
-0.979309492,-1.757851873
-0.781204007,-1.443750987
0.022924655,-0.771087351
-0.520847457,-0.232280192
1.076527347,0.402400543
1.44333664,-1.561818358
0.179047724,-0.37064561
-1.144519759,1.111801861
1.034367173,1.293555079
-0.818878943,-1.037865245
-0.627507354,-0.615612037
-0.692642512,-1.05554489
-0.553748488,-0.333253297
-1.627122138,-0.785578615
0.67026473,-1.450100779
0.155011793,0.698432038
-0.109418058,-0.150964471
1.464581547,0.236001865
-0.693145813,1.77735817
-0.024331651,0.725997947
-0.489600458,0.158005273
1.84458473,0.285027645
-0.052827851,-0.560122796
1.367135976,0.543895454
-1.342620398,0.185418615
0.099817998,0.058570195
-0.821812857,-0.984715987
0.496628749,-1.07074979
0.328765767,1.18431065
-0.179663492,-0.58263389
-0.408114472,-0.92929522
0.098611624,-0.378287076
-1.864191815,1.869670798
-0.221942667,1.137940363
0.654690194,0.487331708
1.457529573,-1.861989565
-0.095070818,0.347532679
-0.773922124,0.472174936
-0.576643706,-0.924777267
-0.05174475,1.830679885
0.949879414,0.406648285
-1.108520164,-0.995790777
-0.556012253,-0.195677467
1.743202658,-0.013944017
-0.689636342,0.650817998
-1.034332539,-0.728512818
-1.283908241,1.502133866
-0.204538275,-0.76391196
1.114733931,1.30592026
-0.427022505,-1.248239627
0.600886163,0.07547731
0.535971269,1.409945697
0.889763982,-0.156294437
1.897433899,1.67503854
-1.232798776,-0.518842135
0.395084248,-0.630972602
0.27112556,0.660706836
0.189056609,-0.97696459
0.689131084,0.269706295
-0.125604237,0.796118288
0.036381321,-0.128280198
0.895439891,0.632952396
1.315624499,0.993421219
0.328036938,0.151495749
2.507637399,-1.421349938
0.222098937,-1.931024423
1.597465842,-1.163381193
-0.660676306,-0.181538865
-0.908394336,0.39748036
-0.113276878,1.446612362
1.040648112,-0.636384624
0.626719708,0.280307474
0.595845784,-0.358595856
0.55539057,-0.123617345
0.797896615,0.214833517
0.353789835,-0.87723829
0.143482365,0.61422453
0.106664395,-1.054885714
-0.75673109,0.702999445
-1.350799613,0.454945039
-0.329660746,1.430574124
1.560403464,1.704826719
0.669887822,0.453518895
0.670428966,0.664143782
1.812352943,-0.451543686
1.001297896,2.063373793
0.776766477,0.321835668
-1.314734559,-0.83238005
-0.181475648,-0.088465202
1.086141659,0.016020079
-0.731015061,-0.294431819
0.179858907,-0.15181913
-0.024370808,-0.284922541
-1.374477139,-0.975279816
-0.668629752,0.481640925
-0.160477799,0.064997117
0.275957017,0.633366896
0.695484182,-0.364226898
1.018894608,-1.141844817
0.142991462,-0.071259629
0.192038278,-0.152025137
-0.07713115,-0.736213586
-1.558040175,-0.529787821
-0.7051295,-0.787649832
-0.170616527,-0.361585368
1.462892827,1.404647005
1.27139886,1.335049544
-0.091358544,0.378618839
-1.009194192,-0.855700166
0.581783987,1.561944286
0.014597579,-1.637431798
-1.910741539,-0.121485535
0.171318426,0.676085782
2.137841606,0.315877282
-0.602708764,-0.263222063
0.006514693,-0.313571474
1.004491735,0.054338541
0.414974323,0.159922602
-0.021901034,0.955921157
0.051794567,-0.126661242
-0.743419383,-1.308152158
-0.103059071,-0.161366511
1.062499829,-0.01205829
-0.41285259,0.779478464
-0.6586705,-0.171611311
-1.215632593,1.383923063
-0.55784542,0.564641992
0.58660718,0.1247899
0.76599487,-0.558124244
-0.827415303,0.673135085
-0.187714717,0.63547218
-1.641031935,0.082582775
-1.461056889,0.459559817
-1.745685854,-0.064403936
-1.332808864,-0.024897005
-1.019749759,0.412552364
0.164676052,1.381956076
0.889203016,-0.919610603
-0.927829761,-0.794927188
1.32454288,-0.928597259
0.809179088,-1.179569328
-1.118283754,1.51701442
0.17061583,-0.377269259
0.126930741,-0.069877899
0.414911683,0.007456029
-1.038851978,-1.323306014
-1.243431908,0.192579957
-0.249840597,0.513821044
-0.998494405,0.188217705
1.84084963,0.391108715
-0.603584718,0.841859607
-0.27101921,-0.143325575
-0.624914453,-0.844781706
-0.291739036,-0.199618945
1.800528955,0.532939848
-1.12933538,-0.727262243
-0.486461242,-0.89658918
-1.552634331,1.131318673
1.533773706,0.706109749
-1.695775061,-0.021878391
0.665270897,0.412973497
-0.200958095,3.543368667
-0.939890508,-0.28566961
-0.365606372,-0.418063638
0.793676971,-1.259132587
0.304423474,0.282883521
-0.993886444,0.857573593
0.087472296,2.618397494
0.702861266,-0.672156958
1.625144317,-1.628805601
0.021259902,-0.280372679
1.600710083,-0.030352146
0.784425137,1.458810348
-0.185730972,0.401082681
0.996879086,-0.47555923
-0.659817005,-0.630102179
1.060507162,-0.421300957
-1.870080884,-0.147693924
-1.373154828,2.138512402
0.272380026,0.447698254
-1.431913311,0.043402154
-1.150587216,-0.260460733
-0.226683351,-1.248322597
-0.926060196,0.615046132
-1.389271433,-0.178097307
0.669996496,-0.492708636
0.445557102,0.648189207
1.185736468,0.742034657
1.394565168,-1.005310523
0.792228159,0.700842694
-1.622273176,-0.656086386
-0.558404786,-1.543456388
1.073149358,0.529886564
-1.347424737,-0.921129461
-0.4976921,-1.240026017
-0.047524145,-1.00603171
-1.615968945,1.154188629
0.105625642,-0.583926664
-2.304280341,-1.354439231
-1.859451139,1.074099334
-0.593536986,-0.164499687
1.095922677,0.187766341
0.983549074,-1.229414812
-0.761708944,-0.12339495
0.61681753,1.447920571
0.948973743,-0.502034315
-1.64391443,-0.604623309
-0.638916384,-0.264794128
1.390111816,-1.174301085
2.324806695,-0.187630311
1.608724154,-0.412072607
2.760418843,1.437766012
-1.350138889,-1.346401732
0.183178366,0.578417706
1.73197107,0.050481082
-0.703795307,-0.698962785
-0.24474894,-0.155253663
0.787475654,-0.205624993
0.036046429,-0.032461718
0.154662627,0.197454944
0.28664055,0.373023845
-1.507191748,-0.084477344
-0.249591669,0.341574356
0.987925339,1.430865717
-0.675058225,-0.676994997
1.099941479,-0.60275632
0.956972778,0.422756303
0.794095657,0.231059464
0.545414077,0.793729189
-0.504946438,-0.5617928
-1.119591654,-2.423403353
1.258725762,-1.227534101
-1.362746508,0.230264034
-0.401988052,-0.863380399
0.015631964,1.073851466
-2.087166376,-1.036434359
-0.433717995,-1.571772486
-0.107370515,-0.277971675
-0.104998938,-0.74176156
0.09405582,-0.080431819
-0.319557928,-0.730210884
-0.306953325,-0.482719773
-0.105807325,0.834045785
-0.718643946,-0.383535037
1.149358864,0.775018567
-0.829839539,0.131589417
-0.799582855,1.230224139
0.745816869,-0.609860391
0.440438805,0.732203152
0.439247553,-0.503033516
-0.439206259,2.061802775
1.364897333,-2.365438289
0.358735172,0.057308458
-0.93321355,-1.639281453
0.025607173,-0.81871953
-1.37413123,-1.777435853
0.627912298,-0.26941796
-1.316745669,1.302723213
1.727032341,1.853594161
1.357624911,0.764304066
-0.559588298,0.159797286
-0.395626779,1.144310926
-0.098006475,-0.736408002
-1.428420838,-0.521448956
-0.689328386,-0.361005056
-0.281100116,1.096729031
-0.663791673,0.349724433
-0.65414264,-1.461418381
-2.131136768,1.549055476
-1.719218506,-0.753763044
0.897305583,-1.182195997
-1.000280496,2.594149942
0.795747898,0.481118622
0.873095474,-1.490806335
